pattern_id,normalized_pattern,example_source,count,sample_seg_ids
pattern_348d57ba4a3f1de2,"If X~N({n},{n}^{n}), what is the z-score when X={n}?","If X~N(40,10^2), what is the z-score when X=50?",294,e7e655f59f9160b86918d94853d13f5f858b8c1db6d37c370de91360528ef2ac | b5cf4738a2cdd488fd2f05bdf8d840e7b1762fa537d2ba41a1b49694675296e8 | adb77a398566a083c832f34d9c8ec89008a8321e2fb6272f448d8ade4a0f2b69 | 99c160f99cfb96f00fd16b77026f72e82bd8e58ea521ae185560c4b65dc3e279 | a8589cac4cceacd44e7f6cc0462c29738c09a7ab1718ef3ac57f45ae94ab3e0c
pattern_369e462a913dc5d4,Solve for x: {n}(x + {n}) = {n},Solve for x: 10(x + 0) = 30,274,9685a149e5bc1393dc1ef72143d3e424dd4a8d398f30e4f12027780cdc54370e | 0ae91622d5ca9af6bbf90daeacd94587d6c88b7caa46e4f26c0419a5cbd70a09 | a43e6011fd7d69e2fbe3bc34e74e9a810f0495360646744a8a4d6ff5c6465eaa | 53bc064b6be23c2f3dc23337cc0f5c2b64d11b4e0d3812fbfef35c065ba1f48f | dcdbd4be4a17b252f87c26d648cc03ae017c49fd07573b7642e6215bb99f4aac
pattern_60f7a647edc6fbc8,[Averages] Compute {n}+{n}.,[Averages] Compute 10+10.,261,a8c8eccf814615be1e259e8afe03a0b3a4c595b767df0819d667a48d655b2ec2 | 491ca5347b7839bb491fe1025c2a4cba1d1bc392e09a2c04eab47f3fb5a4bd78 | 184b8fbd85723c89a27d7272e6c1169d0d36df367b0133a76c9a717b46d9b934 | 9877c3cf5b56e764aa82e243cd0a2851d394238146c241a141ab027f54f48241 | 4d8a074aea9054ddbd98c945c88527c4bf8d428bd4836351b176a750e1e89745
pattern_2a04f122067a955e,[Circles (circumference/area)] Compute {n}+{n}.,[Circles (circumference/area)] Compute 10+11.,257,9bbc136488a1e71e4cb729cdd647099469a98739b53e5cbafee5b1870d3f8ec5 | 01bdfcd75ca8d875b2e441cc5be6c4cc5d709ade56b4499db4e8a52259ef82d8 | 6d707417111111504429f4f034022f3b5fc2f7ea9704265039edd094ff13a447 | 3113e99ef57b1078fe77ec03e9669aa3275e1124599af1dc1996a056d2bece59 | f07dab4c4f78bda781509153cffe650187eb5d65452690e07dd6ff80d1ca1a89
pattern_636c61bfc8e661e5,Solve for x: {n}(x - {n}) = -{n},Solve for x: 10(x - 1) = -10,253,381282ecfda1d7e6750a9496c9d8e3774e650577dcfe75e67fe85f52cb902a91 | b64c8e2632f1cd3c36b82fa872c03efbeac0e59a03e17992abc41199c50c2acd | 7d33b0be4221f6c0fe3fea3667ac10a3fab2780dc6af3d7c368ba678380ab70d | 01038d0cd5f967f41bc4139dc1736f815cf074eaeacf96521fcf016527ce3f95 | 77a8fae312b8841cf3f4bc7717b80ab925b26ae5bca8572204265c152700bb55
pattern_5556db91b23f8ba5,Round {n} to {n} significant figure(s).,Round 1007 to 3 significant figure(s).,246,899e9b351c256c5c6e77e33a4f064f531198fa524e44cfb34abc924be58a70a8 | 1f406a322eb5de87e279059f05a5c53fefdd100e48d41d9252646c9438efa3f2 | 57dfe9017bd02ea496c6ece390194f905574eab9ed2fd6a71ac3f9c3636f82ab | 923c37b7c736eb5918cddcabed9f825bb41d9ca1299572237bda62e0a8763bf0 | 8897f9f0e0addabda3e61eff050500e58c05415e177d9ba14c7f8654ba98feac
pattern_8b16cd70831a3f3c,[Direct proportion] Compute {n}+{n}.,[Direct proportion] Compute 10+11.,234,a9b9e2a0cc5dca4b30b93f01e1efa202cf2acba6c4154b7edd725fb4ea115646 | 83a5ba2eb87bbf60e499e779e420fbd68000a8d44ed38693116abb01dbaf1edb | 5faaeff0d9a4296d7261c7592cf8f4d6ec7dfe8c751e7e3102085e9fb8cdb0e5 | 2ebdeb4019a7cad4f799ae0e268511a0787d92a0d92521c3379bcadc758a93cf | 57322f24133f2778bf47d4d6ff237d869d24081e616cf508a683be5734c20d59
pattern_4d2023129d451427,[Bounds & error intervals] Compute {n}+{n}.,[Bounds & error intervals] Compute 10+10.,230,e200b99e792dcff527255c847a914d8b6e010e79d5f0083e62ed83f44ba4b3d7 | 182fddb5d900d9c5077b2ce14cca213ee531622709a3d7c3c7e19e97236e1daf | 132d7259630b4cb01a0d6274763cd6a3c1a370d305647d8c743a401c59ebe31d | 00dd8e6e0afed85d01343617406c493d93c6a133880385fb53f6059624c7916c | 3aa58bde2a5247b4a035d7bbb076af7e71bd061f3893d6c4fdc0ae827b5214f3
pattern_0546636bd7b86c20,"Given y = mx + c, and y={n}, x={n}, c={n}. Find m.","Given y = mx + c, and y=0, x=10, c=0. Find m.",229,d514ddd1b7a68a1019f595ef79dc2bf478a23eb6161af9400f1bd3d3bdad1642 | d06cdc28ff22e97973a0bb06d5648bdd87c35d5363193d34a051fabfd41ce78a | 7b2548ebb534a7199e39b5d15c74ad91f894815ec130eed20a37830419314ba5 | d7fe675f4c2e1075647021c3179ea01494a5e8973e1eb1bf1212850827aebc01 | 9079baa2b281987bf465afba7d185744a35d0522c83a6e1fb685e40fa2704507
pattern_e840f99acb11b4d8,"Let X ~ Bin({n}, {frac}). Find P(X = {n}). (Give to {n} d.p.)","Let X ~ Bin(10, 1/10). Find P(X = 1). (Give to 3 d.p.)",217,2dbf6e7d65b2e4a60048cdb5f054bc39c9617011d01f7185e38c3117eb542503 | 062f1300936764c6f11bfb63cad3a9c5076c962e5fa065327af4ceb7269d66bd | f7821a38179307e1039fafb09be5bb812a7663c21bbf66623ad9402759f41bc3 | 8ddbd31a03064fd8a6faea96d770f642016ac5d1038879cd7296cd0c21b8b2b3 | d561dd5eba5c2cabf401900e78a3cfb21ff677842d8e6c78e6a01909929d2516
pattern_f233021897c1a289,Solve for x: (x + {n}) / {n} = {n},Solve for x: (x + 0) / 10 = 1,216,291565d42dd503f3b8dc8427c1067b17eedab8d4dd54033cffd46ab90120adff | 78ac388f04fad4ce7fef927c3e4d0f9a574d99f66735040f83ad420ebe89430d | eebf0e8752bcf918db92b5646fcbefb7e8807bd2e58b88d89b3c3590407e855d | cdf21174aba7bb15264c9e73d85e902960b6cb80d3e907b2633a77ea92246ebf | 08483bf1741b5106e161b9017601acb1d12d460f5203bafb90664aa7c3f41f3b
pattern_f3d69e5a4ed33bbe,Find {frac} of {n}.,Find 1/10 of 205.,210,cf6d496c16db3a369d3fa77400a062b1816665b14100a185cac7ac0f722f3ccd | fd2d4da8990613eb9cb56de47fca12daf5673be0c38b2d9e0829b40e1b296358 | 1b1ce33c35430cded2de0dd012308925e36b3e59f9623e8fff7b1da831765bbf | e5ef28a5df74027ec7a9a0af054770341cc81d3ef8a5d8e4bd586fdc7a50355e | a08e88bb7fbb0b4f5e1d1814ac03bcc35d3703522d2d75e571bd88fa3786b568
pattern_e9f9bf804afb7b1c,"Given y = mx + c, and y=-{n}, x={n}, c=-{n}. Find m.","Given y = mx + c, and y=-1, x=5, c=-16. Find m.",210,7c94485b8d25fc99e5ea16490cd9f3e7320860c736c45eb5dfe7e3d623fec2ee | 9df5cf8ab6e653e76c0dc5234da7d0747cc2e85f3bbe15c38cbac4ca47856a40 | f0586cbc213761298925eef18b610e6b9015c5f3a3a82257336f014fc854a218 | cff580fa94530bf8ca31c1b9fc2c74ddf869bbd4f733a07d31936f8b81663d47 | 0662b7f995e45f1948927801d59ff75ef4fbfcbb73c4011cbda14de7a1f78f09
pattern_6b897dae07b2e01e,[Best buys] Compute {n}+{n}.,[Best buys] Compute 10+13.,207,438ae42d816017d3288b07acdc6b02de98f4bf910d6509056bee8306bf23d9db | d00df5bad623fba5dd3a546e480d337f9e4f305ffe9d7b3f4323810b7e0128c2 | 854eaca2092e443efb1601b1f1dc91bd816caaa7d2dd1874422fabe9c64fd2ba | 1a1fe80d47ba73e23e59721a1da89fd3fd537d87192b183a9d8d3ebc0b3686da | c984c78ca7033a64be6432a28ce71d7c860f472d793c0f2fa754d9508e0c4088
pattern_054b4f6dacd30d5a,Calculate: -{n} + {n},Calculate: -1 + 1,194,12cb909d84241a1175c87bb13f37995013f612ae902781b782bca6b01d9eb798 | 96d3a2fe4c4b1f6d7ea86490c12d76d6e5925bd0865ba81354dea00b9c128e5d | 392250f7fdfc54dc8a8aed9846576b719c92b43175e9863b47bcc54ee4dce955 | 88733ad3a19280fb9bac4563f3c6043c194d939ef3f4f36a076e12a08b953f51 | 81b8844a7eb349a9594b4a190de3fd16ab6d16b43c9bf409e05095fab5c8afd6
pattern_8cadb2306c92f294,Calculate: {n} + -{n},Calculate: 0 + -15,194,dfbe755934af29ac7d29cab5af3090645d0c90dfc20c4a17daefd58028d240e7 | 11ade1f89255da7fa4d3a1a631e9bb5e96737338032b89b17745cb0a10341a5c | 34536a69973ba06cb5c3ca8981e2001d97803adecbed6deae83363c6a037d765 | 06e8b93755ba061007826ed06629b0c6fc4a0f3819863e249a1a4f3b64030b9b | eaf257acc9bad274ee53f3a522726fc14657565c46cd9592809f7447a2930370
pattern_63945eb9d32860e1,"Let X ~ N({n}, {n}^{n}). Find the z-score for x = {n}.","Let X ~ N(40, 12^2). Find the z-score for x = 52.",194,1f342fa7aac153a298ef40fe5c0ce478ed07ec1603a9599384dd66ed11878f0f | 60ac6293385a6545866340b017c0bd17c50b7d5b3354f00b1827daa03f998138 | 9cbdbfc80a8079a2eb7a9d2a47d7068e0425300feedbecf02af7886bf67e15ba | bcacf3bc56d1dc8643440b60d10fcb4ac0641a8bf9794b6a4cc461484a8d5404 | 79a4396b24b21a82fb0f93eb1c23b35aaef2a439dedb841b7cba5fd06dde01a3
pattern_1927cf4a58cdce84,Calculate: -{n} + -{n},Calculate: -1 + -10,192,e652083103083356acf57a2e830ed9cc717caaae180e43b5f8a6172dc1c0870e | a9fb785716bb296ced136b11cef5e98af7a7ca8d74252f131cc2f70ccf87ea28 | 508f8e704857fd01861f2fb39da8cdb8303e56e058e66d7539c967c5c5e245b2 | f56c0c06276a79a97f664219a9656900119683e1ab8ba32bf6d739a3b18e11d1 | 31684f5a37563d5646cf5ad2d1f4498ebcd407aa40e9415105c9f96670c069ed
pattern_107e2e426ea38036,Solve for x: (x - {n}) / {n} = -{n},Solve for x: (x - 1) / 10 = -1,191,2e21ff07e72b4e439e7dc8cc48abea0c3a9c60805ac81b469c269f2b64a7a29b | d56a386b4ac6d8ad0953192f8980b3bb401078288599e95b6adcad74e18f2666 | d3aca682bf756649de393661848905613076f4df8586303fcddf9e061809449b | 78590f4e85bd49e0dd6e374c9eb4209114e611a8e455e6ba6f42a5d0f9d2b7cc | bf4201fa8994cb1816f7a8a8ce37b8ac44943dadfebe9053eb0c475d045eff25
pattern_0ad108d1871d33fa,Calculate: {n} - -{n},Calculate: 0 - -14,190,bf25b95b899e700411c26bf32b1f5aa603a2f52481ce49a21f3dbc388ca59183 | aa176ef9930540e5b99a3cf7e205d3cf072439d3be500988b1356741dd6ba2c8 | 96d7a03478f607045c8057f7026e700e2692cb1a96ed96f388eafc197ae07000 | 24ff0ef39dd15cbf2314c235ec5fdf8bb187deafcf46ad7b33ade4788bb7e189 | 91a36086d7faf08ef56e0658b13a040cc895f15fcf3ccb64ad77fb326a9ba4dd
pattern_e7d8cf057bd1beb6,Calculate: -{n} - -{n},Calculate: -1 - -10,188,36f99d1defcbccbb9ebd680133069b4bc862c6a3c624a5a73c61a12efd90340d | 77fca506039b9ade3847486b0fbb3aaefa3f3e818b137d45f1e87af31765e825 | bbb39a152b914c8d8c8b5b2d4a45079a8570d846e0a6beb916d08a36f512ac0d | 2df845bb345f452e555c68602938fa923bfbeb05f4611a28704b76c98641202f | cf4689aaf7302b249dc2a390687db600925e9a15d16a993b2d95f196ef2144ae
pattern_7d9e7ab7df4175be,Calculate: -{n} - {n},Calculate: -1 - 1,188,bc2e1f8eb11406f70ef32fe0d5fa5dfa03c5a66d9da5c5be0da9aa5d8fc7a496 | cfefb3c67bcf9a505e6c729ae870aeeb83934ddfb9194cee60cc461d7214ce83 | 37070b3ce641235ce605a4b13b2dd631c9f94e8e12ae27653b2b41023e445b6a | 82e9a628739bee146794852b25ec52676f4bd5519242c51956a656bb89a10d4d | 20e6218b23920e3ac1ff04c4dc6159c60c333e06529360218ba7e228c931ddb1
pattern_edcb16d3569e461f,"A bag has {n} red, {n} blue, and {n} green counters. What is P(red)? (simplest form)","A bag has 1 red, 1 blue, and 1 green counters. What is P(red)? (simplest form)",185,a0cf896046132744a7444215572475dc7c0c936f88c0b2a665b78910bd9ce029 | 336b3c52c2dcfe14c75b2f2c193a66cbd72ed7608432cfe057ff4b05d350a664 | 736ae3c3e638e438e244a5de1369f142916d839b51b61ee1a2601b973e7bd463 | af46be0c2adf67fed6009d0aa86ed9f135ec829715fcf731bab300799a7ef608 | cdf80b1517c310f6905bb072de71444af668c32df87a4e66f95dad733272fe08
pattern_a039214b2026e2dd,[Cumulative frequency] Compute {n}+{n}.,[Cumulative frequency] Compute 10+12.,182,23bd5ee3cde424aaf66fdad62df43d11ddfe331f3b7466863c9c5a5c67b894ea | e5fdae9c0ff0bf045a213bfdffc1e53dc7ecd3d91b24c455ca0844d2c14003ea | 6b26e58f5872ef636fd735f4310797474e88ff26bc9d8e0ccd73f91d15998d1c | 104a5c856ee667db3434d6969d2aaef878981358981f4bc4691cfb917965d981 | 9f33932f8eeed4d6816e62e1a8013bfa9c04d074d6cb55a782fb6c87d782a362
pattern_d153cc12f45c131a,Calculate: {n} ÷ {n},Calculate: 10 ÷ 2,177,74782fce437807072ceb2f2c1242a26a153ca36faa02181b1a81d63a9b784cd1 | 2a935338d8fdf79297b334fbe2fcf817f1b3483f6fcb7b8209b1cf18b11bb339 | a272b6ce4fbe9c83a7fdc655d11ffa63b7ca9c506806fce42d1128c64b560666 | 742319cd68dc02344a7cbf3c203559ab036a8877c196f9c49c2e52f8f8819df8 | 61ca398805d563d1d0a6d565024f520a048e409f2d4be7cfbf86f6d11d5b94d9
pattern_9f00aae9b0ff1503,"A bag has {n} red, {n} blue, and {n} green counters. What is P(blue)? (simplest form)","A bag has 1 red, 1 blue, and 5 green counters. What is P(blue)? (simplest form)",175,e8a08b001db3c2b11e6e444c083b6455f1c8fdbbf8a1358747e6012920e54f7a | 054af0bbf490ef4583e4738ccf52bdbf10a075c319c790d51cb8de07695d71ff | c2c774afc80c6f49c7ac1c132096627cc49c9253975cdbcf5c29467a76d8d394 | 56d5855f2fd8b7f969aa5ee5e997272cc1accc1d85252392ecb47422b00e0698 | 63a2b123b4fcaf414c72d64278bdbad5b53d9ff7422d122dbb0a6cbedb88a2ab
pattern_fcb31811f6f87320,"A bag has {n} red, {n} blue, and {n} green counters. What is P(green)? (simplest form)","A bag has 1 red, 1 blue, and 2 green counters. What is P(green)? (simplest form)",174,d4c02e9f5b32f72f28978e00a1f9acdbd5558108f12aeb9fc35c44726d2c0dec | b4b4211eff15eee867982ffb77c85ac1987be28e045d79ffbc139d8795627780 | 3de8db62ac378f5751987c6fc8f712c45769efe26743c070f0477c20a125394f | 534162a6df5488c2bb3a61b0f358e339c664f07808ac7352d2ca5c9471cf30ca | 051b05aa13328c4bac2b95dcdebc8ff3b0edcca1eacdb753bde5b6c6803e0c1c
pattern_0112794ec9a65596,"Given v = u + at, and v={n}, u=-{n}, t={n}. Find a.","Given v = u + at, and v=0, u=-5, t=5. Find a.",172,1b83325dbb64ee4fddfeecd73fef88643d8d96f2b2c33f3a885c72ac1eeff880 | 4d3898ffa1e3b161335b13549ffc1f5d9f4bd5d70c719a6dd4da4bcdcac03fcc | 5c13143cbc54a3c29beeabcdd3222e926fe6d4bdbeb39d1973a860eb5bc28bd9 | 2d78bf3f7d4087bc52ffa7ea665107fb82bb40e599050c2bf34ede9ce9c7f08a | 7ec597a7ec0e0057a4674b93b9e4c16565604e68174e25ec52f12447c0d246de
pattern_27b2ab65abcaab06,"Given y = mx + c, and y={n}, x={n}, c=-{n}. Find m.","Given y = mx + c, and y=0, x=11, c=-11. Find m.",166,480915c608b70d687b0e5f38407234d0dd05d100d6399b6bf294aa8b9f470457 | 9b4ae260c7eb72a62495be09b52d27eabd229bd492898a45de401a1017f56e36 | 9c410b69015c21911dcafe6bc51bb495511a4de6b63fc2b4250fd0b3e68d74ec | b0e010669ec5cebdcb86bc018e424faf29aa307201d4b4e8e7be7237387bafe7 | 3596dbb33c642ad579dbc09bf8b6e11872c9443ad9f2a0ae86e2da55e1253eff
pattern_39fbd577164ffca4,"A particle has u={n} m/s, acceleration a={n} m/s^{n} for t={n} s. Find v.","A particle has u=0 m/s, acceleration a=2 m/s^2 for t=1 s. Find v.",162,9dfa15dcfa6e42a70007bb120565bcb1801dbb25f4ee8ffdb06f0646dade2ccb | 81e3ad79383e0e18e97901e10e59949daa2660ed0765bd5e3e348fae570de989 | 963eb15f0b0a5d2c1fa4a7a30d1577d9e6357f64846a65a30dabc5af995ff486 | de7fbf96bab7047970046a20ac6c733483a25160763f14723b0c2c9e4d66150d | 93713f4d1e0cec0ab3943246e3d6bda6c3f6b016854b9b859bd17749f897ebbe
pattern_226114f30e65b34d,Increase {n} by {n}%. What is the new value?,Increase 100 by 30%. What is the new value?,161,5d05c2a6d63baccd6e35539b4b8f9f61ad47d640e4910eba3e1813979f7f78fe | edc95fe2ded64963958e8722c7be8b30af5fc4bcc35947bc90dacde345bd2a18 | 4195a488fd6277e70ce5427e126e35a8a2b33110fffc027a356d2c9ccf8afec4 | bcdf1ae71abcc2454dd25824e389efd27e65952ef34fc3b14781c69f38d4417d | cc654e23b61d87cff25c5d80b980070a1afdf8f0262a623f205270288b3d2252
pattern_8cb69023e8749f00,Find the perimeter of a rectangle with length {n} and width {n}.,Find the perimeter of a rectangle with length 10 and width 16.,158,310acd0d5d7f5334db94450bbc87d1a861f98a06bde7e1dd765e4231f3dd0998 | 6dea8ca21bf94505427d1ba3714429bc86f00cc7fb09f58acf57a52cb92daae8 | a22560b4b535cbbeab064267551510544918b321dc8cf7c2766e16eb8ab07645 | 3d7cd1462d1a2f8969aa47239a95724b2f1a33df5ad5dbef0c1ea20c241e909a | ad69dbfc292578409c137304d294a9c912531870cc11f439235cb04806eb4ea9
pattern_28a1a04ea3885eb0,Find the area of a rectangle with length {n} and width {n}.,Find the area of a rectangle with length 10 and width 16.,153,f1bd8334e7f583e9521d07d0089c70c430d388e53a3a52148bd726e3fd3a60f3 | 4553f938d47a6214c42c792712e6a6736ef8adda9d73e8c0ecb0f44b8137dd75 | a14b07c25cfc2a980a7e3a062d9e0bf69d00487799d015f80aac398a8cfc1d8b | c381f8d7b28499e1887cbe8b32c93e128d2cd74514c3b8805e2d8b8601be2a11 | ab169aab7c6c5cd47f887288a5bbfdfc3fd40a380b7a1914fc9df1f1ec053da3
pattern_14ea57aa2f685ccf,Find the area of a triangle with base {n} and height {n}.,Find the area of a triangle with base 10 and height 11.,152,1e87e40b9d3bb3f3454a98d071afc454962cfde4464358fe58afc402b9782327 | d24a071222cf725411039e91fd19df020d51ff44db068c66b50243568618aa72 | 92c4e73893753cd564511d7a17ea4d4a4e6f85e8a4debacbd513bf804eb74021 | 348c764a73849d55721d2c4991380cc3f27566c8cdcf0f899746ee12d75bfaac | a40f363762f3b8c921575c2d5909d942b98b538d944fc6d6d1e8b261afba7251
pattern_c33885f0f9d20f6c,Compute: {frac} × {frac} (simplest form),Compute: 1/10 × 1/4 (simplest form),150,6e69e997bf99ee41708cda46ac7c2872f2b49cb04b9513b893d75aed581ee362 | e8c8cee056e391abb7d56bd4e2e723d85b2a0f6705ff7630b33b2b1d0ae3b63f | f5b5631a3e547e1b5bd5f8b213ffe10cf9fea87a47a9a3618645081d8ff59b57 | 818489b299d98c19ca1a9f10bab088a9355eedab41e57bac906bb464af0ffc6d | 9d7062bec0b53ad650d3b22a648357f2bce7b210883af279a4becf518d1a415c
pattern_30715350a903fe93,Compute: {frac} - {frac} (give your answer in simplest form),Compute: 1/12 - 1/6 (give your answer in simplest form),148,82f7c2513f6006e9dde1ef7ce2e70702ae54c77058fac046c6f1a405b9096b2b | ad3382cc8bbeff7ba3e1e2fe71e53a3422d6126d0627db2e297b221906843b12 | faf162ee831a1cda21d3f645d7e648100dc30a801ddd0a292f4f80176a69dd6e | 7e64b62b6498a3175b8feac32a633d799b8ff2e49422380eac807591c06f76a0 | fff8de6eb2e5cc44d5d204c2b73a37350e0650d3768cb1b5217fee81cc6322f0
pattern_cd96476be941b175,Decrease {n} by {n}%. What is the new value?,Decrease 105 by 30%. What is the new value?,145,150048e1738aaf2e5c7fa1ffcccaa8d0e2e92eb7746ee15532c87dec2804c69d | 99bdbd9370469ec8be41796441a23927c2baafa82a04ba59388b8a33f81b500c | c54f9f96dc774dd5ae42db87759e250b4305b15381372c1c57518bd67b3f252b | 97b4ba5cfb8e755583d91f105764737967459eed791495c9374ce4fc1f530d0e | 0073e0ad4beb657801e0d4903d97deda1b82663907e1df6f9da4d476e318359c
pattern_3618689ad1678292,Compute: {frac} + {frac} (give your answer in simplest form),Compute: 1/10 + 1/2 (give your answer in simplest form),141,e6f68785f0a6a2f30c49859a33c2a743efdef2f7f736c10bbfe3da77f9b18a6b | caf2d9fd43444de227f680004f1086b2c4eb9194b975feb3121b121b7b52e924 | 613c5de4e0f4e0fd172c501a9a8ae9d1c3fa922e992d284fc8911cc60deed9d2 | 8f6d81e9c9732b2d75e4804a1d37ba0b9d17d993bf62427bb8054e0f8289c6db | 53aafa74be251c29376050f0866a93c20f494d12878ad77ee5345892cea9ca35
