file,question_id,stage,skill,issue_type,detail,recommended_fix
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4eb3d93441,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_79638d830f,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 14+20.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_025b6048c8,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_b17810fc96,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+4.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_adf570cada,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 16+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4678478bbb,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 10+17.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f600fdbd9f,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+12.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05b845d310,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 4+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_7625d0cacf,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 5+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5435894de4,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_478de906c9,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+4.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0157d1a3b5,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 10+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_58012453c2,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 2+11.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05f4e7742a,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 3+17.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_25ae762823,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 4+9.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4666b596a1,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 11+11.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5fbeccf7dc,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+10.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_cbecb63673,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 11+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_6fcf7c422f,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 18+15.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_45d3582ee7,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 15+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5c0846caa8,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 11+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_e5710c2209,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 10+19.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2780c21812,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+7.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0d9a4e92fa,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+15.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_ed94279199,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_ac5399500f,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+16.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_03b9eefcf8,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 18+2.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_ac8a455857,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 15+12.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_62b4f59903,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+5.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2b40656072,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_63d9eedf59,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 20+4.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1143067d7d,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+10.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1f21a27011,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 3+2.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f7430527e5,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 9+9.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_46b6dfc570,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 15+3.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_cbbb62a862,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 17+5.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_587968f1cb,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 3+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_06c6b3cfe3,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+19.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4e2dcef0b2,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 20+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_04994b34de,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 8+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2e0cbd90f1,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+2.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_c7ae117f85,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 2+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_b776bce639,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 18+15.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_da222dfa0d,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+14.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_26844db256,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 10+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_96afdeafc5,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 17+5.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0d1500ffd5,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+15.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f9bc8852e7,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 11+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_6649bcdd25,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+15.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_c51e4335da,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+3.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_a9644e2ed3,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 2+12.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_aa9582193a,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 17+18.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1339540934,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 8+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2fd40f5464,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 15+15.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f3849bb5fb,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 17+9.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_78f99b6b6a,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_a29ff5d114,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 8+14.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f87b37f0de,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 2+17.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_93a21c45c6,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 16+10.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05ff678bdc,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+7.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3b3a08c434,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 17+13.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
