file,question_id,stage,skill,issue_type,detail,recommended_fix
ALL_merged_deduped.jsonl,ks4_expand_factorise_46,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -6)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_49,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -4)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_51,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_52,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +1)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_53,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -10)(x +10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_54,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x +2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_62,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +0)(x -8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_63,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -8)(x -3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_65,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x -3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_67,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -8)(x +1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_68,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +1)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_73,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +8)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_74,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_78,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -7)(x +1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_79,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -4)(x -7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_87,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -10)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_89,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +4)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_90,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +8)(x +2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_92,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +0)(x +3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_93,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x +3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_102,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -10)(x +6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_110,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -2)(x +7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_113,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +8)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_115,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x -5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_132,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -10)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_137,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x -9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_143,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -2)(x +7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_148,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_150,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +4)(x -7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_152,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +0)(x -7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_153,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_163,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +9)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_169,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_170,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +8)(x -8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_174,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +8)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_186,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x -9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_189,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -7)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_190,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x +3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_193,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +9)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_197,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x +9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_205,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +0)(x +0)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_207,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +6)(x -8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_208,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -4)(x +3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_212,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +7)(x -5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_220,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x +6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_227,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -2)(x +8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_228,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +9)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_233,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -8)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_236,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x +0)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_244,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_247,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +8)(x -9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_253,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -1)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_254,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +0)(x -3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_263,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -4)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_266,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +0)(x +10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_273,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +10)(x +1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_274,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x -7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_284,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -2)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_285,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_287,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +1)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_289,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x +3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_304,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x +10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_306,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -8)(x +9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_341,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_346,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_353,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +4)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_357,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x +7)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_365,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +1)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_371,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -7)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_372,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_373,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +4)(x +10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_374,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_380,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -3)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_381,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -7)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_382,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -10)(x +8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_383,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -1)(x +8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_397,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +4)(x +9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_399,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +5)(x +1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_402,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_406,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +10)(x +8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_409,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_410,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -7)(x +2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
