file,question_id,action,status,detail,options_before,options_after,answer_index_before,answer_index_after
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05f4e7742a,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""19"", ""21"", ""20"", ""22""]","[""19"", ""21"", ""20"", ""22""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05ff678bdc,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""15"", ""13"", ""12"", ""14""]","[""15"", ""13"", ""12"", ""14""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_060e8626a9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""17"", ""16"", ""18"", ""15""]","[""17"", ""16"", ""18"", ""15""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_063e4752de,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""10"", ""9"", ""12"", ""11""]","[""10"", ""9"", ""12"", ""11""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_06a68190d3,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""11"", ""9"", ""12"", ""10""]","[""11"", ""9"", ""12"", ""10""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_06c6b3cfe3,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""40"", ""37"", ""38"", ""39""]","[""40"", ""37"", ""38"", ""39""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_070cf7d169,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""17"", ""15"", ""14"", ""16""]","[""17"", ""15"", ""14"", ""16""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0a0352c727,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""18"", ""20"", ""19"", ""17""]","[""18"", ""20"", ""19"", ""17""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0a659b0262,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""37"", ""35"", ""34"", ""36""]","[""37"", ""35"", ""34"", ""36""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0ae3d4b363,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""24"", ""25"", ""23"", ""22""]","[""24"", ""25"", ""23"", ""22""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0aef96c25f,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""24"", ""21"", ""23""]","[""22"", ""24"", ""21"", ""23""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0c58fcddd0,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""7"", ""9"", ""6"", ""8""]","[""7"", ""9"", ""6"", ""8""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0d1500ffd5,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""27"", ""26"", ""29""]","[""28"", ""27"", ""26"", ""29""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0d59d1237c,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""26"", ""24"", ""25""]","[""23"", ""26"", ""24"", ""25""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0d9a4e92fa,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""23"", ""21"", ""20""]","[""22"", ""23"", ""21"", ""20""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0e13644ead,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""30"", ""29"", ""31"", ""28""]","[""30"", ""29"", ""31"", ""28""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0e8a2e4123,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""10"", ""7"", ""8"", ""9""]","[""10"", ""7"", ""8"", ""9""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0f03dfacef,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""26"", ""27"", ""25""]","[""28"", ""26"", ""27"", ""25""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0f21368287,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""16"", ""15"", ""17"", ""18""]","[""16"", ""15"", ""17"", ""18""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0f7029a9e4,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""11"", ""10"", ""12"", ""13""]","[""11"", ""10"", ""12"", ""13""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_10617e1219,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""26"", ""29"", ""27""]","[""28"", ""26"", ""29"", ""27""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_10b18b4af0,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""30"", ""31"", ""28"", ""29""]","[""30"", ""31"", ""28"", ""29""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_10c3b6919a,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""27"", ""28"", ""29"", ""26""]","[""27"", ""28"", ""29"", ""26""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_10e56ce746,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""25"", ""26"", ""28"", ""27""]","[""25"", ""26"", ""28"", ""27""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1143067d7d,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""15"", ""17"", ""18"", ""16""]","[""15"", ""17"", ""18"", ""16""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_11f8b892d3,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""19"", ""20"", ""18"", ""21""]","[""19"", ""20"", ""18"", ""21""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_125cdb39f6,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""9"", ""10"", ""8"", ""11""]","[""9"", ""10"", ""8"", ""11""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_12b5e657b7,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""16"", ""18"", ""19"", ""17""]","[""16"", ""18"", ""19"", ""17""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1339540934,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""16"", ""17"", ""15"", ""18""]","[""16"", ""17"", ""15"", ""18""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1377541726,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""20"", ""21"", ""22""]","[""23"", ""20"", ""21"", ""22""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_138840cc92,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""14"", ""11"", ""13"", ""12""]","[""14"", ""11"", ""13"", ""12""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_13f8169eb9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""12"", ""11"", ""10"", ""9""]","[""12"", ""11"", ""10"", ""9""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_15b8995c62,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""21"", ""22"", ""24""]","[""23"", ""21"", ""22"", ""24""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_176996590f,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""32"", ""30"", ""33"", ""31""]","[""32"", ""30"", ""33"", ""31""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_17c3cc8018,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""31"", ""32"", ""33"", ""30""]","[""31"", ""32"", ""33"", ""30""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_180db0671d,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""16"", ""14"", ""15"", ""13""]","[""16"", ""14"", ""15"", ""13""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18c86273c4,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""28"", ""27"", ""25""]","[""26"", ""28"", ""27"", ""25""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18d4c82c90,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""23"", ""24"", ""21""]","[""22"", ""23"", ""24"", ""21""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18dc6834a4,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""21"", ""19"", ""22""]","[""20"", ""21"", ""19"", ""22""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1a03aaaaf7,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""12"", ""14"", ""11"", ""13""]","[""12"", ""14"", ""11"", ""13""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1ad8bacf7a,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""37"", ""34"", ""36"", ""35""]","[""37"", ""34"", ""36"", ""35""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1af05d699e,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""30"", ""29"", ""32"", ""31""]","[""30"", ""29"", ""32"", ""31""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1b363edba9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""20"", ""21"", ""22""]","[""23"", ""20"", ""21"", ""22""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1b82943e7c,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""24"", ""26"", ""25"", ""23""]","[""24"", ""26"", ""25"", ""23""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1d6e5561f9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""19"", ""18"", ""20"", ""17""]","[""19"", ""18"", ""20"", ""17""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1e01ecc2e4,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""21"", ""20"", ""22""]","[""23"", ""21"", ""20"", ""22""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1f21a27011,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""5"", ""6"", ""4"", ""7""]","[""5"", ""6"", ""4"", ""7""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1f30af7aeb,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""14"", ""16"", ""15"", ""17""]","[""14"", ""16"", ""15"", ""17""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2024bfae76,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""18"", ""20"", ""19"", ""17""]","[""18"", ""20"", ""19"", ""17""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_211310a03c,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""23"", ""25"", ""24""]","[""26"", ""23"", ""25"", ""24""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21853b9c4e,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""24"", ""21"", ""23""]","[""22"", ""24"", ""21"", ""23""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21bfb196f6,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""8"", ""6"", ""5"", ""7""]","[""8"", ""6"", ""5"", ""7""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21db8113f8,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""33"", ""31"", ""32"", ""30""]","[""33"", ""31"", ""32"", ""30""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_22a615dade,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""25"", ""22"", ""24"", ""23""]","[""25"", ""22"", ""24"", ""23""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_22ea129216,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""26"", ""29"", ""27""]","[""28"", ""26"", ""29"", ""27""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2391408693,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""21"", ""22"", ""19"", ""20""]","[""21"", ""22"", ""19"", ""20""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_23fff44b93,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""13"", ""15"", ""12"", ""14""]","[""13"", ""15"", ""12"", ""14""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_24ae64c980,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""18"", ""19"", ""17""]","[""20"", ""18"", ""19"", ""17""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_25a69f7234,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""21"", ""22"", ""19"", ""20""]","[""21"", ""22"", ""19"", ""20""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_25ae762823,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""15"", ""13"", ""12"", ""14""]","[""15"", ""13"", ""12"", ""14""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_26844db256,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""17"", ""20"", ""18"", ""19""]","[""17"", ""20"", ""18"", ""19""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2780c21812,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""27"", ""25"", ""26"", ""28""]","[""27"", ""25"", ""26"", ""28""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_27ebaadc57,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""27"", ""29"", ""28""]","[""26"", ""27"", ""29"", ""28""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2838fd06e9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""35"", ""36"", ""33"", ""34""]","[""35"", ""36"", ""33"", ""34""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2978f81ea6,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""26"", ""27"", ""25""]","[""28"", ""26"", ""27"", ""25""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_299ae629b3,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""15"", ""17"", ""16"", ""18""]","[""15"", ""17"", ""16"", ""18""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_29eec7f7b0,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""24"", ""25"", ""23""]","[""22"", ""24"", ""25"", ""23""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2aceaaf8cf,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""26"", ""25"", ""27""]","[""28"", ""26"", ""25"", ""27""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2b40656072,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""19"", ""20"", ""21""]","[""22"", ""19"", ""20"", ""21""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2dcfcdc440,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""18"", ""17"", ""15"", ""16""]","[""18"", ""17"", ""15"", ""16""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2e0cbd90f1,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""14"", ""13"", ""15"", ""16""]","[""14"", ""13"", ""15"", ""16""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2fd40f5464,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""30"", ""29"", ""31"", ""32""]","[""30"", ""29"", ""31"", ""32""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3120061699,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""22"", ""19"", ""21""]","[""20"", ""22"", ""19"", ""21""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_32a9607272,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""33"", ""32"", ""31"", ""34""]","[""33"", ""32"", ""31"", ""34""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_34fefa25fe,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""23"", ""24"", ""21""]","[""22"", ""23"", ""24"", ""21""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_35086fb6bd,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""39"", ""40"", ""37"", ""38""]","[""39"", ""40"", ""37"", ""38""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_35247c874f,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""24"", ""26"", ""25"", ""27""]","[""24"", ""26"", ""25"", ""27""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3777e1690d,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""25"", ""24"", ""23"", ""26""]","[""25"", ""24"", ""23"", ""26""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3896813f55,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""9"", ""11"", ""8"", ""10""]","[""9"", ""11"", ""8"", ""10""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_38c145eb19,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""18"", ""19"", ""20"", ""17""]","[""18"", ""19"", ""20"", ""17""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_39d053908a,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""25"", ""23"", ""24"", ""26""]","[""25"", ""23"", ""24"", ""26""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3b3a08c434,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""29"", ""32"", ""30"", ""31""]","[""29"", ""32"", ""30"", ""31""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3bdcabeafe,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""21"", ""19"", ""22""]","[""20"", ""21"", ""19"", ""22""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3c60c0865e,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""21"", ""22"", ""23""]","[""20"", ""21"", ""22"", ""23""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3d44326fcb,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""37"", ""39"", ""38"", ""36""]","[""37"", ""39"", ""38"", ""36""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3d7693d9d3,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""24"", ""22"", ""25""]","[""23"", ""24"", ""22"", ""25""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3dc5f753b6,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""33"", ""34"", ""36"", ""35""]","[""33"", ""34"", ""36"", ""35""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3dd9034029,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""24"", ""23"", ""22"", ""25""]","[""24"", ""23"", ""22"", ""25""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3ddf3a91bf,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""18"", ""21"", ""19""]","[""20"", ""18"", ""21"", ""19""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3df183b0d2,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""21"", ""24"", ""23"", ""22""]","[""21"", ""24"", ""23"", ""22""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3ec11f1b1e,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""31"", ""34"", ""32"", ""33""]","[""31"", ""34"", ""32"", ""33""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3fe3e949fa,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""21"", ""22"", ""23"", ""24""]","[""21"", ""22"", ""23"", ""24""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3fe6c826ca,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""21"", ""20"", ""23"", ""22""]","[""21"", ""20"", ""23"", ""22""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3fecaf84b9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""31"", ""29"", ""28"", ""30""]","[""31"", ""29"", ""28"", ""30""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4044bf5959,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""27"", ""28"", ""29"", ""26""]","[""27"", ""28"", ""29"", ""26""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_412c19d807,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""15"", ""14"", ""16"", ""17""]","[""15"", ""14"", ""16"", ""17""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4179677e3a,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""26"", ""24"", ""25""]","[""23"", ""26"", ""24"", ""25""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_42325d042a,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""17"", ""15"", ""18"", ""16""]","[""17"", ""15"", ""18"", ""16""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4406869b93,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""38"", ""36"", ""35"", ""37""]","[""38"", ""36"", ""35"", ""37""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_45d3582ee7,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""28"", ""30"", ""29"", ""27""]","[""28"", ""30"", ""29"", ""27""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4666b596a1,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""23"", ""21"", ""24""]","[""22"", ""23"", ""21"", ""24""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4678478bbb,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""28"", ""27"", ""29""]","[""26"", ""28"", ""27"", ""29""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_46b6dfc570,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""17"", ""18"", ""19""]","[""20"", ""17"", ""18"", ""19""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_46d3e2433d,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""25"", ""23"", ""26"", ""24""]","[""25"", ""23"", ""26"", ""24""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_478de906c9,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""16"", ""15"", ""18"", ""17""]","[""16"", ""15"", ""18"", ""17""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4849a90248,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""25"", ""23"", ""24""]","[""26"", ""25"", ""23"", ""24""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_48819a13b7,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""29"", ""31"", ""32"", ""30""]","[""29"", ""31"", ""32"", ""30""]",3,3
